Id,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWin3,HTWin5,HTLoss3,HTLoss5,ATWin3,ATWin5,ATLoss3,ATLoss5,HTDG,ATDG,DiffPts,DiffFormPts,Journey,Med_HTDG,Med_ATDG,Med_DiffPts,Med_DiffFormPts,Med_HTP,Med_ATP,Med_HTGS,Med_ATGS,Med_HTGC,Med_ATGC,FTR_h_or_not,year,month,day
10,0,10,15,2,2,0,1,1,0,13,9,4,3,13,13,2,2,3,2,0,1,2.0,3.1,4.5,1.95,3.0,3.9,2223,30,25,18,20,16,24,26,19,1,1,1,1,2,1,1,0,0,1,23,10,4,1,0,0,0,0,0,0,0,0,2,-4,7,3,19,0.1052631578947368,-0.2105263157894736,0.3684210526315789,0.1578947368421052,1.368421052631579,1.0,0.9473684210526316,1.0526315789473684,0.8421052631578947,1.263157894736842,1,2022,12,6
11,0,11,1,1,2,1,1,1,0,10,8,3,4,7,5,6,0,1,0,0,0,2.75,3.0,2.75,2.65,2.9,2.65,2223,35,23,13,17,24,9,12,30,1,0,1,2,1,0,2,0,0,0,0,11,4,7,0,0,0,0,0,0,0,0,-11,8,-18,-3,18,-0.6111111111111112,0.4444444444444444,-1.0,-0.1666666666666666,0.6666666666666666,1.6666666666666667,0.7222222222222222,0.9444444444444444,1.3333333333333333,0.5,1,2022,12,5
12,0,3,2,1,0,2,0,0,0,15,13,4,5,20,13,6,4,0,3,0,0,1.61,3.75,5.75,1.58,3.6,5.5,2223,31,33,20,14,13,19,30,15,2,2,0,1,2,1,1,1,0,0,39,12,8,4,0,0,0,0,0,0,0,0,7,-5,15,4,18,0.3888888888888889,-0.2777777777777778,0.8333333333333334,0.2222222222222222,1.6666666666666667,0.8333333333333334,1.1111111111111112,0.7777777777777778,0.7222222222222222,1.0555555555555556,0,2022,12,4
13,0,12,7,2,1,2,0,1,1,13,7,5,3,15,15,9,5,5,5,0,0,1.75,3.2,5.5,1.73,3.3,4.6,2223,26,28,19,14,14,11,29,26,2,1,1,2,2,2,1,1,2,2,143,13,9,9,0,0,0,0,0,0,0,0,5,3,3,0,18,0.2777777777777778,0.1666666666666666,0.1666666666666666,0.0,1.6111111111111112,1.4444444444444444,1.0555555555555556,0.7777777777777778,0.7777777777777778,0.6111111111111112,0,2022,12,4
14,0,13,4,0,1,1,0,0,0,13,15,6,5,8,11,11,2,0,4,0,0,1.75,3.4,5.0,1.72,3.4,4.5,2223,36,32,9,15,11,22,18,17,1,2,1,2,2,1,0,1,1,0,28,14,4,7,0,0,0,0,0,0,0,0,-2,-7,1,-3,18,-0.1111111111111111,-0.3888888888888889,0.0555555555555555,-0.1666666666666666,1.0,0.9444444444444444,0.5,0.8333333333333334,0.6111111111111112,1.2222222222222223,1,2022,12,4
15,0,14,6,0,1,1,0,0,0,25,2,10,2,11,19,6,0,1,1,0,0,2.2,3.1,3.6,2.1,3.0,3.4,2223,22,24,18,18,11,13,24,28,1,2,2,1,0,2,2,2,0,0,272,15,8,10,0,0,0,0,0,0,0,0,7,5,-4,-2,18,0.3888888888888889,0.2777777777777778,-0.2222222222222222,-0.1111111111111111,1.3333333333333333,1.5555555555555556,1.0,1.0,0.6111111111111112,0.7222222222222222,1,2022,12,4
16,0,15,8,4,2,2,3,1,2,18,14,6,6,18,13,7,5,4,2,0,0,2.75,2.9,2.8,2.55,2.95,2.7,2223,25,21,20,19,23,23,19,22,1,2,1,2,0,1,1,1,2,0,214,14,4,7,0,0,0,0,0,0,0,0,-3,-4,-3,-3,18,-0.1666666666666666,-0.2222222222222222,-0.1666666666666666,-0.1666666666666666,1.0555555555555556,1.2222222222222223,1.1111111111111112,1.0555555555555556,1.2777777777777777,1.2777777777777777,0,2022,12,3
17,0,16,0,2,1,2,0,1,1,10,7,6,3,8,10,9,7,1,4,0,0,1.72,3.4,5.75,1.73,3.3,4.6,2223,41,39,14,12,17,23,20,15,1,0,1,1,2,2,2,2,1,1,51,16,6,7,0,0,0,0,0,0,0,0,-3,-11,5,-1,18,-0.1666666666666666,-0.6111111111111112,0.2777777777777778,-0.0555555555555555,1.1111111111111112,0.8333333333333334,0.7777777777777778,0.6666666666666666,0.9444444444444444,1.2777777777777777,0,2022,12,3
18,0,17,10,0,0,0,0,0,0,5,13,1,3,19,12,3,9,3,4,0,0,2.6,2.9,3.1,2.4,2.9,3.0,2223,40,30,17,18,20,15,23,26,1,1,2,2,1,1,2,0,0,1,21,17,7,4,0,0,0,0,0,0,0,0,-3,3,-3,3,18,-0.1666666666666666,0.1666666666666666,-0.1666666666666666,0.1666666666666666,1.2777777777777777,1.4444444444444444,0.9444444444444444,1.0,1.1111111111111112,0.8333333333333334,1,2022,12,3
19,0,18,20,0,1,1,0,1,1,8,6,1,1,18,11,3,4,5,0,0,0,2.75,3.0,2.75,2.6,2.9,2.7,2223,37,29,17,18,19,10,22,31,0,2,2,0,1,2,1,0,2,2,227,18,7,11,0,0,0,0,0,0,0,0,-2,8,-9,-4,18,-0.1111111111111111,0.4444444444444444,-0.5,-0.2222222222222222,1.2222222222222223,1.7222222222222223,0.9444444444444444,1.0,1.0555555555555556,0.5555555555555556,1,2022,12,3
