Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
28,Sergio Asenjo,ESP,GK,Valladolid,33,1989,5,5,450,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
29,Marco Asensio,ESP,"MF,FW",Real Madrid,26,1996,9,1,186,2.1,1,2,1,0,0,0,0,0.48,0.97,1.45,0.48,1.45,14,https://cdn.sofifa.net/players/notfound_0_60.png
30,Iago Aspas,ESP,FW,Celta Vigo,35,1987,14,12,1122,12.5,7,2,6,1,2,3,0,0.56,0.16,0.72,0.48,0.64,6,https://cdn.sofifa.net/players/notfound_0_60.png
31,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,33,1989,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,https://cdn.sofifa.net/players/notfound_0_60.png
32,Ezequiel Ávila,ARG,"FW,MF",Osasuna,28,1994,13,11,838,9.3,6,1,4,2,3,3,1,0.64,0.11,0.75,0.43,0.54,12,https://cdn.sofifa.net/players/notfound_0_60.png
33,Iddrisu Baba,GHA,MF,Mallorca,26,1996,11,6,547,6.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
34,Srđan Babić,SRB,DF,Almeria,26,1996,13,12,1125,12.5,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0,https://cdn.sofifa.net/players/notfound_0_60.png
35,Édgar Badía,ESP,GK,Elche,30,1992,14,14,1260,14.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
36,Alex Baena,ESP,"MF,FW",Villarreal,21,2001,13,5,630,7.0,4,0,4,0,0,6,1,0.57,0.0,0.57,0.57,0.57,19,https://cdn.sofifa.net/players/notfound_0_60.png
37,Alejandro Balde,ESP,DF,Barcelona,19,2003,12,12,968,10.8,0,3,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,3,https://cdn.sofifa.net/players/notfound_0_60.png
38,Mikel Balenziaga,ESP,DF,Athletic Club,34,1988,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,https://cdn.sofifa.net/players/notfound_0_60.png
39,Iván Balliu,ALB,DF,Rayo Vallecano,30,1992,14,14,1260,14.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
40,Léo Baptistão,BRA,"FW,MF",Almeria,30,1992,11,8,564,6.3,2,1,2,0,0,3,0,0.32,0.16,0.48,0.32,0.48,0,https://cdn.sofifa.net/players/notfound_0_60.png
41,Keidi Bare,ALB,MF,Espanyol,25,1997,11,3,330,3.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
42,Kike Barja,ESP,"MF,FW",Osasuna,25,1997,7,3,287,3.2,1,0,1,0,0,0,0,0.31,0.0,0.31,0.31,0.31,12,https://cdn.sofifa.net/players/notfound_0_60.png
43,Ander Barrenetxea,ESP,FW,Real Sociedad,20,2001,4,0,62,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
44,Pablo Barrios,ESP,MF,Atletico Madrid,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
45,Rodrigo Battaglia,ARG,MF,Mallorca,31,1991,11,7,592,6.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
