Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
129,Domingos Duarte,POR,DF,Getafe,27,1995,13,13,1125,12.5,0,2,0,0,0,5,0,0.0,0.16,0.16,0.0,0.16,9,https://cdn.sofifa.net/players/notfound_0_60.png
130,Pablo Durán,ESP,"MF,DF",Celta Vigo,21,2001,3,0,29,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,https://cdn.sofifa.net/players/notfound_0_60.png
131,Hugo Duro,ESP,FW,Valencia,23,1999,10,4,391,4.3,1,0,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,17,https://cdn.sofifa.net/players/notfound_0_60.png
132,Íñigo Eguaras,ESP,MF,Almeria,30,1992,11,6,495,5.5,1,1,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36,0,https://cdn.sofifa.net/players/notfound_0_60.png
133,Aritz Elustondo,ESP,DF,Real Sociedad,28,1994,11,7,618,6.9,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
134,Rodrigo Ely,BRA,DF,Almeria,29,1993,14,14,1233,13.7,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
135,Adri Embarba,ESP,"FW,MF",Almeria,30,1992,9,5,423,4.7,1,3,1,0,0,4,1,0.21,0.64,0.85,0.21,0.85,0,https://cdn.sofifa.net/players/notfound_0_60.png
136,Adri Embarba,ESP,FW,Espanyol,30,1992,1,0,35,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
137,Youssef En-Nesyri,MAR,"FW,MF",Sevilla,25,1997,10,2,362,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
138,Sergio Escudero,ESP,DF,Valladolid,33,1989,9,9,709,7.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
139,Alfonso Espino,URU,DF,Cadiz,30,1992,14,13,1142,12.7,0,3,0,0,0,3,0,0.0,0.24,0.24,0.0,0.24,5,https://cdn.sofifa.net/players/notfound_0_60.png
140,Bernardo Espinosa,COL,DF,Girona,33,1989,8,6,499,5.5,0,1,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,10,https://cdn.sofifa.net/players/notfound_0_60.png
141,Edu Expósito,ESP,MF,Espanyol,26,1996,13,10,772,8.6,2,2,2,0,0,0,0,0.23,0.23,0.47,0.23,0.47,8,https://cdn.sofifa.net/players/notfound_0_60.png
142,Nicolás Ezequiel Fernández,ARG,"MF,DF",Elche,22,2000,8,2,294,3.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
143,Abdessamad Ezzalzouli,MAR,"MF,FW",Osasuna,20,2001,8,4,313,3.5,0,2,0,0,0,1,0,0.0,0.58,0.58,0.0,0.58,12,https://cdn.sofifa.net/players/notfound_0_60.png
144,Radamel Falcao,COL,"FW,MF",Rayo Vallecano,36,1986,12,3,404,4.5,2,0,1,1,1,2,0,0.45,0.0,0.45,0.22,0.22,13,https://cdn.sofifa.net/players/notfound_0_60.png
145,Fali,ESP,"DF,MF",Cadiz,29,1993,8,7,556,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
146,Ansu Fati,ESP,FW,Barcelona,20,2002,14,3,469,5.2,3,3,3,0,0,0,0,0.58,0.58,1.15,0.58,1.15,3,https://cdn.sofifa.net/players/notfound_0_60.png
147,Zouhair Feddal,MAR,DF,Valladolid,33,1989,7,4,349,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
148,Nabil Fekir,FRA,"MF,FW",Betis,29,1993,8,6,426,4.7,1,1,1,0,0,4,1,0.21,0.21,0.42,0.21,0.42,4,https://cdn.sofifa.net/players/notfound_0_60.png
149,Felipe,BRA,DF,Atletico Madrid,33,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
150,Luiz Felipe,ITA,DF,Betis,25,1997,7,6,414,4.6,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
151,João Félix,POR,FW,Atletico Madrid,23,1999,12,5,513,5.7,3,3,3,0,0,5,0,0.53,0.53,1.05,0.53,1.05,2,https://cdn.sofifa.net/players/notfound_0_60.png
152,Kiko Femenía,ESP,DF,Villarreal,31,1991,11,9,847,9.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
153,Aitor Fernández,ESP,GK,Osasuna,31,1991,4,4,360,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,12,https://cdn.sofifa.net/players/notfound_0_60.png
154,Álex Fernández,ESP,"MF,FW",Cadiz,30,1992,12,8,699,7.8,2,0,2,0,0,0,0,0.26,0.0,0.26,0.26,0.26,5,https://cdn.sofifa.net/players/notfound_0_60.png
155,Álvaro Fernández,ESP,GK,Espanyol,24,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
156,Carlos Fernández,ESP,FW,Real Sociedad,26,1996,7,4,232,2.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
157,Federico Fernández,ARG,DF,Elche,33,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
158,Joaquín Fernández,ESP,DF,Valladolid,26,1996,12,10,955,10.6,1,0,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,18,https://cdn.sofifa.net/players/notfound_0_60.png
159,Fernando,ESP,GK,Almeria,32,1990,13,13,1170,13.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
160,Fernando,BRA,"MF,DF",Sevilla,35,1987,6,6,495,5.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
161,Fidel,ESP,"MF,FW",Elche,33,1989,4,2,165,1.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
162,Dimitri Foulquier,FRA,"DF,MF",Valencia,29,1993,9,2,287,3.2,0,1,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,17,https://cdn.sofifa.net/players/notfound_0_60.png
163,Juan Foyth,ARG,DF,Villarreal,24,1998,4,3,248,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
164,Iván Fresneda,ESP,DF,Valladolid,18,2004,6,4,468,5.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
165,Javi Galán,ESP,DF,Celta Vigo,28,1994,14,14,1255,13.9,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,6,https://cdn.sofifa.net/players/notfound_0_60.png
166,Iñigo Ruiz de Galarreta,ESP,MF,Mallorca,29,1993,12,10,854,9.5,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
167,Aleix García,ESP,MF,Girona,25,1997,14,14,1245,13.8,0,3,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22,10,https://cdn.sofifa.net/players/notfound_0_60.png
168,Álvaro García,ESP,FW,Rayo Vallecano,30,1992,13,13,1095,12.2,3,1,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,13,https://cdn.sofifa.net/players/notfound_0_60.png
169,Dani García,ESP,MF,Athletic Club,32,1990,8,4,363,4.0,0,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,1,https://cdn.sofifa.net/players/notfound_0_60.png
170,David García,ESP,DF,Osasuna,28,1994,12,12,1039,11.5,1,0,1,0,0,6,1,0.09,0.0,0.09,0.09,0.09,12,https://cdn.sofifa.net/players/notfound_0_60.png
171,Eric García,ESP,DF,Barcelona,21,2001,9,8,608,6.8,1,0,1,0,0,2,0,0.15,0.0,0.15,0.15,0.15,3,https://cdn.sofifa.net/players/notfound_0_60.png
172,Francisco Garcia,ESP,DF,Rayo Vallecano,23,1999,14,14,1259,14.0,0,2,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,13,https://cdn.sofifa.net/players/notfound_0_60.png
173,Raúl García,ESP,"MF,FW",Athletic Club,36,1986,13,2,355,3.9,1,1,1,0,0,1,0,0.25,0.25,0.51,0.25,0.51,1,https://cdn.sofifa.net/players/notfound_0_60.png
174,Rubén García,ESP,MF,Osasuna,29,1993,11,4,425,4.7,1,2,1,0,0,2,0,0.21,0.42,0.64,0.21,0.64,12,https://cdn.sofifa.net/players/notfound_0_60.png
175,Unai García,ESP,DF,Osasuna,30,1992,13,13,1116,12.4,0,1,0,0,0,4,1,0.0,0.08,0.08,0.0,0.08,12,https://cdn.sofifa.net/players/notfound_0_60.png
176,Sékou Gassama,SEN,FW,Valladolid,27,1995,1,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
177,Gavi,ESP,MF,Barcelona,18,2004,14,9,803,8.9,0,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,3,https://cdn.sofifa.net/players/notfound_0_60.png
178,Paulo Gazzaniga,ARG,GK,Girona,30,1992,4,4,360,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10,https://cdn.sofifa.net/players/notfound_0_60.png
179,Óscar Gil,ESP,DF,Espanyol,25,1997,11,10,868,9.6,0,1,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,8,https://cdn.sofifa.net/players/notfound_0_60.png
180,Álvaro Giménez,ESP,FW,Cadiz,31,1991,1,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
181,Dani Gómez,ESP,"MF,FW",Espanyol,24,1998,6,0,66,0.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
182,Maxi Gómez,URU,FW,Valencia,26,1996,3,0,108,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17,https://cdn.sofifa.net/players/notfound_0_60.png
183,Moi Gómez,ESP,"MF,FW",Osasuna,28,1994,14,14,1139,12.7,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,12,https://cdn.sofifa.net/players/notfound_0_60.png
184,Papu Gómez,ARG,"FW,MF",Sevilla,34,1988,12,6,650,7.2,0,1,0,0,0,4,0,0.0,0.14,0.14,0.0,0.14,16,https://cdn.sofifa.net/players/notfound_0_60.png
185,Sergi Gómez,ESP,DF,Espanyol,30,1992,11,10,895,9.9,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
186,Diego González,ESP,DF,Elche,27,1995,6,2,327,3.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
187,Édgar González,ESP,DF,Betis,25,1997,11,9,845,9.4,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
188,Giovanni González,URU,DF,Mallorca,28,1994,5,3,344,3.8,0,2,0,0,0,3,0,0.0,0.52,0.52,0.0,0.52,11,https://cdn.sofifa.net/players/notfound_0_60.png
189,Nicolás González,ESP,MF,Valencia,20,2002,12,5,517,5.7,1,0,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,17,https://cdn.sofifa.net/players/notfound_0_60.png
190,Roberto González,ESP,"FW,MF",Betis,21,2001,2,0,54,0.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
191,Andoni Gorosabel,ESP,DF,Real Sociedad,26,1996,11,8,713,7.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
192,Ivo Grbić,CRO,GK,Atletico Madrid,26,1996,4,2,208,2.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,https://cdn.sofifa.net/players/notfound_0_60.png
193,Clément Grenier,FRA,MF,Mallorca,31,1991,10,4,404,4.5,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
194,Antoine Griezmann,FRA,"FW,MF",Atletico Madrid,31,1991,14,7,773,8.6,5,3,5,0,0,0,0,0.58,0.35,0.93,0.58,0.93,2,https://cdn.sofifa.net/players/notfound_0_60.png
195,Arnaut Groeneveld,NED,FW,Villarreal,25,1997,9,6,476,5.3,2,0,1,1,1,0,0,0.38,0.0,0.38,0.19,0.19,19,https://cdn.sofifa.net/players/notfound_0_60.png
196,Andrés Guardado,MEX,"MF,FW",Betis,36,1986,8,3,303,3.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
197,Sergi Guardiola,ESP,FW,Valladolid,31,1991,11,6,377,4.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
198,Nemanja Gudelj,SRB,"DF,MF",Sevilla,31,1991,12,12,1035,11.5,2,0,2,0,0,4,0,0.17,0.0,0.17,0.17,0.17,16,https://cdn.sofifa.net/players/notfound_0_60.png
199,Ander Guevara,ESP,"MF,DF",Real Sociedad,25,1997,4,1,126,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
200,Hugo Guillamón,ESP,MF,Valencia,22,2000,13,11,916,10.2,1,4,0,1,1,4,0,0.1,0.39,0.49,0.0,0.39,17,https://cdn.sofifa.net/players/notfound_0_60.png
201,Gerard Gumbau,ESP,MF,Elche,27,1994,13,9,831,9.2,0,3,0,0,0,5,0,0.0,0.32,0.32,0.0,0.32,7,https://cdn.sofifa.net/players/notfound_0_60.png
202,Gorka Guruzeta,ESP,"FW,MF",Athletic Club,26,1996,7,1,203,2.3,5,0,5,0,0,1,0,2.22,0.0,2.22,2.22,2.22,1,https://cdn.sofifa.net/players/notfound_0_60.png
203,Raúl Guti,ESP,MF,Elche,25,1996,11,8,647,7.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7,https://cdn.sofifa.net/players/notfound_0_60.png
204,Miguel Gutiérrez,ESP,DF,Girona,21,2001,13,11,908,10.1,0,2,0,0,0,3,0,0.0,0.2,0.2,0.0,0.2,10,https://cdn.sofifa.net/players/notfound_0_60.png
205,Munir El Haddadi,MAR,"MF,FW",Getafe,27,1995,8,0,234,2.6,1,0,1,0,0,2,0,0.38,0.0,0.38,0.38,0.38,9,https://cdn.sofifa.net/players/notfound_0_60.png
206,Eden Hazard,BEL,FW,Real Madrid,31,1991,3,1,99,1.1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,14,https://cdn.sofifa.net/players/notfound_0_60.png
207,Luiz Henrique,BRA,FW,Betis,21,2001,12,9,741,8.2,0,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,4,https://cdn.sofifa.net/players/notfound_0_60.png
208,Mario Hermoso,ESP,DF,Atletico Madrid,27,1995,3,1,120,1.3,1,0,1,0,0,3,1,0.75,0.0,0.75,0.75,0.75,2,https://cdn.sofifa.net/players/notfound_0_60.png
209,Aridane Hernández,EQG,DF,Osasuna,33,1989,3,2,144,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12,https://cdn.sofifa.net/players/notfound_0_60.png
210,Luis Hernández,ESP,DF,Cadiz,33,1989,12,12,1079,12.0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
211,Ander Herrera,ESP,MF,Athletic Club,33,1989,6,3,238,2.6,0,1,0,0,0,2,1,0.0,0.38,0.38,0.0,0.38,1,https://cdn.sofifa.net/players/notfound_0_60.png
212,Sergio Herrera,ESP,GK,Osasuna,29,1993,10,10,900,10.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,12,https://cdn.sofifa.net/players/notfound_0_60.png
213,Yangel Herrera,VEN,MF,Girona,24,1998,11,9,629,7.0,0,2,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,10,https://cdn.sofifa.net/players/notfound_0_60.png
214,Omar El Hilali,MAR,"DF,MF",Espanyol,19,2003,5,1,92,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
215,Pablo Ibáñez,ESP,MF,Osasuna,24,1998,4,0,35,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,12,https://cdn.sofifa.net/players/notfound_0_60.png
216,Iglesias,ESP,DF,Getafe,24,1998,13,11,1026,11.4,1,0,1,0,0,3,0,0.09,0.0,0.09,0.09,0.09,9,https://cdn.sofifa.net/players/notfound_0_60.png
217,Borja Iglesias,ESP,FW,Betis,29,1993,13,12,957,10.6,8,2,5,3,3,0,1,0.75,0.19,0.94,0.47,0.66,4,https://cdn.sofifa.net/players/notfound_0_60.png
218,Asier Illarramendi,ESP,MF,Real Sociedad,32,1990,6,2,153,1.7,1,0,1,0,0,2,0,0.59,0.0,0.59,0.59,0.59,15,https://cdn.sofifa.net/players/notfound_0_60.png
219,Alexander Isak,SWE,FW,Real Sociedad,23,1999,2,2,152,1.7,1,0,1,0,0,0,0,0.59,0.0,0.59,0.59,0.59,15,https://cdn.sofifa.net/players/notfound_0_60.png
220,Isco,ESP,"MF,FW",Sevilla,30,1992,12,10,799,8.9,0,2,0,0,0,5,0,0.0,0.23,0.23,0.0,0.23,16,https://cdn.sofifa.net/players/notfound_0_60.png
221,Nicolas Jackson,SEN,FW,Villarreal,21,2001,13,8,772,8.6,2,2,2,0,0,1,0,0.23,0.23,0.47,0.23,0.47,19,https://cdn.sofifa.net/players/notfound_0_60.png
222,Adnan Januzaj,BEL,FW,Sevilla,27,1995,2,1,47,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
223,Javi,ESP,DF,Girona,24,1998,10,4,365,4.1,0,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,10,https://cdn.sofifa.net/players/notfound_0_60.png
224,Joaquín,ESP,"MF,FW",Betis,41,1981,5,1,160,1.8,0,1,0,0,0,0,0,0.0,0.56,0.56,0.0,0.56,4,https://cdn.sofifa.net/players/notfound_0_60.png
225,Frenkie de Jong,NED,MF,Barcelona,25,1997,13,9,900,10.0,2,1,2,0,0,0,0,0.2,0.1,0.3,0.2,0.3,3,https://cdn.sofifa.net/players/notfound_0_60.png
226,Joan Jordán,ESP,"MF,DF",Sevilla,28,1994,10,9,684,7.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16,https://cdn.sofifa.net/players/notfound_0_60.png
227,Josan,ESP,"DF,MF",Elche,33,1989,12,3,392,4.4,1,0,1,0,0,3,0,0.23,0.0,0.23,0.23,0.23,7,https://cdn.sofifa.net/players/notfound_0_60.png
228,Willian José,BRA,FW,Betis,31,1991,10,2,271,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,https://cdn.sofifa.net/players/notfound_0_60.png
229,Joselu,ESP,FW,Espanyol,32,1990,14,14,1260,14.0,7,1,5,2,2,1,0,0.5,0.07,0.57,0.36,0.43,8,https://cdn.sofifa.net/players/notfound_0_60.png
230,Juanmi,ESP,FW,Betis,29,1993,4,4,313,3.5,2,0,2,0,0,2,0,0.58,0.0,0.58,0.58,0.58,4,https://cdn.sofifa.net/players/notfound_0_60.png
231,Juanpe,ESP,DF,Girona,31,1991,7,7,615,6.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,10,https://cdn.sofifa.net/players/notfound_0_60.png
232,Lago Junior,CIV,"FW,MF",Mallorca,31,1990,5,0,52,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
233,Vinicius Júnior,BRA,FW,Real Madrid,22,2000,14,14,1227,13.6,6,3,6,0,0,3,0,0.44,0.22,0.66,0.44,0.66,14,https://cdn.sofifa.net/players/notfound_0_60.png
234,Kaiky,BRA,DF,Almeria,18,2004,8,6,484,5.4,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
235,Lee Kangin,KOR,"MF,FW",Mallorca,21,2001,14,13,1090,12.1,2,3,2,0,0,4,0,0.17,0.25,0.41,0.17,0.41,11,https://cdn.sofifa.net/players/notfound_0_60.png
236,Jon Karrikaburu,ESP,FW,Real Sociedad,20,2002,6,0,93,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
237,Kenedy,BRA,MF,Valladolid,26,1996,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18,https://cdn.sofifa.net/players/notfound_0_60.png
238,Franck Kessié,CIV,MF,Barcelona,25,1996,7,2,216,2.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,3,https://cdn.sofifa.net/players/notfound_0_60.png
239,Kike,ESP,FW,Osasuna,33,1989,14,3,428,4.8,2,0,1,1,1,3,0,0.42,0.0,0.42,0.21,0.21,12,https://cdn.sofifa.net/players/notfound_0_60.png
240,Justin Kluivert,NED,"FW,MF",Valencia,23,1999,10,5,518,5.8,2,0,2,0,0,1,0,0.35,0.0,0.35,0.35,0.35,17,https://cdn.sofifa.net/players/notfound_0_60.png
241,Koke,ESP,MF,Atletico Madrid,30,1992,10,8,742,8.2,0,2,0,0,0,2,0,0.0,0.24,0.24,0.0,0.24,2,https://cdn.sofifa.net/players/notfound_0_60.png
242,Luca Koleosho,CAN,"FW,DF",Espanyol,18,2004,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
243,Geoffrey Kondogbia,CTA,MF,Atletico Madrid,29,1993,11,8,719,8.0,0,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,2,https://cdn.sofifa.net/players/notfound_0_60.png
244,Jules Koundé,FRA,DF,Barcelona,24,1998,7,7,572,6.4,0,2,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31,3,https://cdn.sofifa.net/players/notfound_0_60.png
245,Toni Kroos,GER,MF,Real Madrid,32,1990,11,10,858,9.5,1,2,1,0,0,2,1,0.1,0.21,0.31,0.1,0.31,14,https://cdn.sofifa.net/players/notfound_0_60.png
246,Takefusa Kubo,JPN,"FW,MF",Real Sociedad,21,2001,12,10,842,9.4,2,2,2,0,0,0,0,0.21,0.21,0.43,0.21,0.43,15,https://cdn.sofifa.net/players/notfound_0_60.png
247,César de la Hoz,ESP,MF,Almeria,30,1992,8,6,583,6.5,1,0,1,0,0,4,0,0.15,0.0,0.15,0.15,0.15,0,https://cdn.sofifa.net/players/notfound_0_60.png
248,Luca de la Torre,USA,MF,Celta Vigo,24,1998,5,0,54,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,https://cdn.sofifa.net/players/notfound_0_60.png
249,Érik Lamela,ARG,"FW,MF",Sevilla,30,1992,13,10,956,10.6,3,0,3,0,0,5,1,0.28,0.0,0.28,0.28,0.28,16,https://cdn.sofifa.net/players/notfound_0_60.png
250,Latasa,ESP,"FW,DF",Getafe,21,2001,6,0,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,https://cdn.sofifa.net/players/notfound_0_60.png
251,Toni Lato,ESP,"DF,MF",Valencia,25,1997,9,2,276,3.1,1,0,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33,17,https://cdn.sofifa.net/players/notfound_0_60.png
252,Lázaro,BRA,"MF,FW",Almeria,20,2002,6,2,206,2.3,1,0,1,0,0,0,0,0.44,0.0,0.44,0.44,0.44,0,https://cdn.sofifa.net/players/notfound_0_60.png
253,Robin Le Normand,FRA,DF,Real Sociedad,26,1996,11,9,816,9.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,15,https://cdn.sofifa.net/players/notfound_0_60.png
254,Benjamin Lecomte,FRA,GK,Espanyol,31,1991,10,10,899,10.0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
255,Jeremías Ledesma,ARG,GK,Cadiz,29,1993,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
256,Florian Lejeune,FRA,DF,Rayo Vallecano,31,1991,12,12,948,10.5,3,0,3,0,0,4,1,0.28,0.0,0.28,0.28,0.28,13,https://cdn.sofifa.net/players/notfound_0_60.png
257,Iñigo Lekue,ESP,DF,Athletic Club,29,1993,12,10,947,10.5,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,1,https://cdn.sofifa.net/players/notfound_0_60.png
258,Thomas Lemar,FRA,MF,Atletico Madrid,27,1995,9,5,390,4.3,0,2,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,2,https://cdn.sofifa.net/players/notfound_0_60.png
259,Sergio León,ESP,FW,Valladolid,33,1989,13,7,625,6.9,5,1,4,1,2,0,0,0.72,0.14,0.86,0.58,0.72,18,https://cdn.sofifa.net/players/notfound_0_60.png
260,Robert Lewandowski,POL,FW,Barcelona,34,1988,14,13,1064,11.8,13,4,13,0,1,2,1,1.1,0.34,1.44,1.1,1.44,3,https://cdn.sofifa.net/players/notfound_0_60.png
261,Pol Lirola,ESP,DF,Elche,25,1997,8,7,548,6.1,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,7,https://cdn.sofifa.net/players/notfound_0_60.png
262,Javier Llabrés,ESP,FW,Mallorca,20,2002,1,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11,https://cdn.sofifa.net/players/notfound_0_60.png
263,Marcos Llorente,ESP,"DF,MF",Atletico Madrid,27,1995,8,8,662,7.4,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,2,https://cdn.sofifa.net/players/notfound_0_60.png
264,Giovani Lo Celso,ARG,"MF,FW",Villarreal,26,1996,8,8,521,5.8,1,0,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,19,https://cdn.sofifa.net/players/notfound_0_60.png
265,David López,ESP,"DF,MF",Girona,33,1989,8,8,690,7.7,2,1,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,10,https://cdn.sofifa.net/players/notfound_0_60.png
266,Diego López,ESP,GK,Rayo Vallecano,41,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
