Id,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam
33,SP2,2022-11-21,CD Mirandes,Cartagena,2,1,H,0,0,D,10,14,3,4,14,11,3,6,2,2,0,0,2.9,3.0,2.62,2.75,3.0,2.45,2223,25,24
34,SP2,2022-11-20,Levante,Las Palmas,1,1,D,0,0,D,7,17,2,5,25,15,3,8,3,3,0,0,2.45,3.1,3.1,2.25,3.1,3.0,2223,31,29
35,SP2,2022-11-20,Eibar,Alaves,0,0,D,0,0,D,11,7,0,0,10,11,4,4,0,1,0,0,2.0,3.25,4.0,1.95,3.1,3.75,2223,26,20
36,SP2,2022-11-20,Andorra,Lugo,4,0,H,0,0,D,22,8,9,5,11,7,10,2,0,0,0,0,1.8,3.4,5.0,1.78,3.3,4.33,2223,22,32
37,SP2,2022-11-20,Villarreal B,UD Ibiza,1,0,H,0,0,D,14,10,11,2,17,26,7,4,2,5,1,0,2.0,3.4,3.8,1.98,3.3,3.4,2223,40,39
38,SP2,2022-11-20,Racing Sant,Burgos,0,1,A,0,0,D,12,10,3,5,14,14,5,3,2,3,1,0,2.4,2.87,3.5,2.3,2.75,3.25,2223,36,23
39,SP2,2022-11-19,Sporting Gijon,Leganes,2,2,D,2,1,H,14,9,6,5,18,7,3,3,2,2,0,0,2.4,3.1,3.2,2.3,2.9,3.1,2223,37,30
40,SP2,2022-11-19,Ponferradina,Oviedo,1,1,D,0,0,D,8,10,3,3,14,9,4,1,3,3,0,0,2.62,3.1,2.9,2.45,2.95,2.85,2223,35,34
41,SP2,2022-11-19,Tenerife,Huesca,2,0,H,0,0,D,17,5,6,2,17,12,10,5,3,3,0,0,2.1,3.0,4.2,2.05,2.95,3.6,2223,38,28
42,SP2,2022-11-19,Zaragoza,Malaga,1,1,D,0,0,D,24,6,9,3,19,9,15,2,2,2,0,1,2.05,3.1,4.2,1.98,2.87,4.1,2223,41,33
43,SP2,2022-11-18,Granada,Albacete,4,0,H,0,0,D,23,2,7,1,18,14,7,1,3,2,0,2,2.05,3.3,3.8,1.98,3.2,3.6,2223,27,21
44,SP1,2022-11-10,Real Madrid,Cadiz,2,1,H,1,0,H,18,10,5,5,12,16,7,1,3,3,0,0,1.14,8.5,15.0,1.15,8.25,18.5,2223,14,5
45,SP1,2022-11-10,Rayo Vallecano,Celta Vigo,0,0,D,0,0,D,10,11,3,3,19,16,5,3,7,1,0,0,2.2,3.2,3.5,2.1,3.25,3.5,2223,13,6
46,SP1,2022-11-10,Valencia,Betis,3,0,H,0,0,D,15,5,7,1,12,9,5,5,1,3,0,1,2.1,3.4,3.6,2.1,3.3,3.5,2223,17,4
47,SP1,2022-11-09,Sevilla,Real Sociedad,1,2,A,1,2,A,6,17,3,9,9,12,2,1,2,2,2,0,2.6,3.2,2.8,2.55,3.1,2.87,2223,16,15
48,SP1,2022-11-09,Espanyol,Villarreal,0,1,A,0,0,D,14,10,6,3,11,6,4,7,1,3,0,0,3.2,3.2,2.37,3.0,3.25,2.37,2223,8,19
49,SP1,2022-11-09,Mallorca,Atletico Madrid,1,0,H,1,0,H,9,17,3,5,14,17,2,5,5,3,0,0,3.8,3.1,2.1,3.75,3.1,2.1,2223,11,2
